					 Word Occurence Report
			Words with location & lines of occurence
==============================================================================
Word:                     Location:                 Lines
apace                     textFile.txt              11
apart                     textFile.txt              289
ape                       textFile.txt              662
apologetically            textFile.txt              702
apologize                 textFile.txt              71,580
apologized                textFile.txt              735
apology                   textFile.txt              141
apparatus                 textFile.txt              410,412,440,656
apparent                  textFile.txt              739
apparently                textFile.txt              51,55,226
apparition                textFile.txt              57
appeal                    textFile.txt              500
appear                    textFile.txt              707,709
appearance                textFile.txt              33,55,380
appeared                  textFile.txt              25,139,209,291,345,410
appears                   textFile.txt              195
appetites                 textFile.txt              586
applied                   textFile.txt              400
appointment               textFile.txt              668
appreciation              textFile.txt              582
approach                  textFile.txt              360
approached                textFile.txt              225
Apropos                   textFile.txt              319
apt                       textFile.txt              13
arboriculture             textFile.txt              121
architecture              textFile.txt              25
are                       textFile.txt              23,61,75,101,111,119,141,199,248,285,289,307,339,392,406,412,448,450,486,490,494,500,502,524,534,538,540,552,556,560,564,572,590,592,620,672,731,733,741,745
argument                  textFile.txt              462
arguments                 textFile.txt              704
argumentum                textFile.txt              137
aristocrat                textFile.txt              1,91
aristocrats               textFile.txt              23
arm                       textFile.txt              183,723
arms                      textFile.txt              111,345,408,566,672
army                      textFile.txt              398
around                    textFile.txt              27
arranged                  textFile.txt              707
arrangement               textFile.txt              23
arrest                    textFile.txt              650,660
arrested                  textFile.txt              139
arrival                   textFile.txt              33
arrivals                  textFile.txt              23
arriving                  textFile.txt              3
art                       textFile.txt              209,588,608,612,656,731
artist                    textFile.txt              608,612,614,656,658
artist's                  textFile.txt              608
artistic                  textFile.txt              105
arts                      textFile.txt              550
as                        textFile.txt              1,3,5,11,17,23,25,33,41,45,55,75,81,93,101,109,111,113,119,121,123,127,129,131,139,151,157,173,179,183,187,209,211,223,225,226,236,238,248,262,264,277,295,297,315,319,327,345,355,360,362,364,374,378,380,382,386,388,394,398,400,404,406,410,412,422,436,446,454,474,494,496,502,506,508,510,512,522,526,528,532,534,538,540,546,552,556,560,566,580,588,600,602,608,612,620,624,630,632,638,640,642,652,654,656,662,666,670,672,678,682,694,696,704,707,709,731,733,735,739,741,745,751
ascetic                   textFile.txt              398
ashamed                   textFile.txt              528,534
Ashe                      textFile.txt              119,125,149,189,201,234,240,244,252,260,265,283,291,295,305,309,313,323,327,329,339,412,414,420,448,450,456,462,466,474,478,492,498,504,512,518,538,540,542,546,554,558,580,586,588,590,594,608,618,620,644,650,654,672,674,688,694,700,731,739,743
Ashe's                    textFile.txt              620
ashore                    textFile.txt              31
aside                     textFile.txt              211
ask                       textFile.txt              141,195,265,406,528,594,668
asked                     textFile.txt              57,59,63,69,125,159,171,267,339,584,592,596,654,688,700
asking                    textFile.txt              512,668
asleep                    textFile.txt              195,264,560
ass                       textFile.txt              299
assassin                  textFile.txt              426
assassins                 textFile.txt              580
assent                    textFile.txt              408
assented                  textFile.txt              79,149
assignations              textFile.txt              600
assimilation              textFile.txt              111
assumed                   textFile.txt              236
assumption                textFile.txt              450
assure                    textFile.txt              560
astonished                textFile.txt              715
astonishment              textFile.txt              87
astride                   textFile.txt              362
astrologer                textFile.txt              470
asylum                    textFile.txt              197
at                        textFile.txt              1,3,5,15,21,25,35,41,47,53,55,59,65,69,81,99,101,111,119,135,139,141,163,173,179,187,201,207,211,215,221,226,230,238,240,244,248,265,277,305,307,309,311,315,327,337,343,345,347,360,362,370,372,374,378,380,386,396,400,412,418,444,454,462,470,476,488,492,498,500,504,506,510,512,526,532,546,552,556,560,568,570,578,580,600,602,608,620,628,630,632,638,642,646,650,656,660,662,668,672,678,680,682,692,700,706,707,723,729,733,737,739,743
ate                       textFile.txt              195
atheist                   textFile.txt              731
athlete                   textFile.txt              333
attacked                  textFile.txt              600
attempt                   textFile.txt              1
attending                 textFile.txt              236
attention                 textFile.txt              139,376,550,624,630,656,680
attentiveness             textFile.txt              248
attitude                  textFile.txt              590
attitudes                 textFile.txt              265
attribute                 textFile.txt              470
augury                    textFile.txt              181
authority                 textFile.txt              508,672
automatically             textFile.txt              25,536,751
avoid                     textFile.txt              211,566
avoided                   textFile.txt              592
Avon                      textFile.txt              33
awake                     textFile.txt              53,248,462
aware                     textFile.txt              33
away                      textFile.txt              25,51,141,236,240,265,343,345,380,384,422,682,688,729
awful                     textFile.txt              472,474
awkward                   textFile.txt              394
ax                        textFile.txt              25,121,163,179,181,444,448,450,452,454,474,498,500,612,632,678,737,739
babies                    textFile.txt              534
back                      textFile.txt              1,165,171,179,225,226,238,240,248,305,376,382,384,408,462,500,526,546,568,598,600,608,707,751
backwards                 textFile.txt              3
backwoodsman's            textFile.txt              345
bacteria                  textFile.txt              731
bad                       textFile.txt              175,207,656
badly                     textFile.txt              745
bald                      textFile.txt              173,240,291,398
balustrade                textFile.txt              53
bamboo                    textFile.txt              101
bandage                   textFile.txt              636
banquets                  textFile.txt              608
Barbara                   textFile.txt              3,57,63,85,93,107,115,151,171,177,193,226,277,506,528,566,662
barbarous                 textFile.txt              121
Barbary                   textFile.txt              101,111,195
bard                      textFile.txt              33
bare                      textFile.txt              729,739
barely                    textFile.txt              3
basket                    textFile.txt              386
batch                     textFile.txt              588
batteries                 textFile.txt              656
bay                       textFile.txt              3
be                        textFile.txt              1,5,9,23,25,27,31,33,91,101,111,141,153,155,157,195,225,238,248,250,265,281,289,291,293,295,299,319,327,349,374,380,382,386,394,396,406,412,416,420,426,442,450,452,454,500,502,508,516,528,534,538,548,556,560,586,588,594,598,600,608,630,636,650,656,670,672,678,688,698,704,707,729,731,733,735,739,741,745
beach                     textFile.txt              53,101,195,723
Bean                      textFile.txt              360
bear                      textFile.txt              244,305
beard                     textFile.txt              23,163,384,608,656,660,672,739
bearer                    textFile.txt              175
bearing                   textFile.txt              608,696
beasts                    textFile.txt              111,345
beaten                    textFile.txt              380
beating                   textFile.txt              262
beats                     textFile.txt              47
beautiful                 textFile.txt              65,79,538,620
beauty                    textFile.txt              552,743
became                    textFile.txt              111,225,735
because                   textFile.txt              101,305,345,474,500,512,516,528,588,620,739,741
becoming                  textFile.txt              137
bed                       textFile.txt              462
been                      textFile.txt              23,33,39,55,65,93,101,119,163,209,236,238,285,287,315,335,337,355,362,370,376,380,382,386,394,396,398,418,442,500,534,544,580,584,586,588,600,608,620,680,688,696,698,704,707,721,725,729,731,733,739,745
beer                      textFile.txt              588
befallen                  textFile.txt              538
before                    textFile.txt              5,51,189,221,256,262,275,277,355,357,362,386,412,454,476,500,502,508,560,566,608,612,729
beforehand                textFile.txt              733
began                     textFile.txt              13,109,139,264,317,345,376,380,400,510,534,608,612,634,660,735
begin                     textFile.txt              25,33,323,450,528,620
beginning                 textFile.txt              103,111,113,277,285,382,446,502,620,680,733
begun                     textFile.txt              223,281,287,289,534
beheld                    textFile.txt              360
behind                    textFile.txt              53,139,173,279,285,506,644,650,656,694
being                     textFile.txt              5,27,33,37,442,470,506,608,642,707,733,737,739
believe                   textFile.txt              111,125,137,159,161,163,167,169,191,211,285,380,534,552,713,731,733,735,745
believed                  textFile.txt              209,428,534,704
believer                  textFile.txt              271
believing                 textFile.txt              285
bell                      textFile.txt              111
belong                    textFile.txt              47,215
below                     textFile.txt              55,163,209,223,362,368
belt                      textFile.txt              345
bench                     textFile.txt              566,604,606,608
bending                   textFile.txt              362
beneath                   textFile.txt              25
benignity                 textFile.txt              743
bent                      textFile.txt              119,187
beside                    textFile.txt              225,382,608
best                      textFile.txt              698,704,733
bet                       textFile.txt              219,341
betaken                   textFile.txt              151
bethought                 textFile.txt              412
better                    textFile.txt              244,285,406,412,438,462,498,538,610,614,670,704
betters                   textFile.txt              745
between                   textFile.txt              1,5,55,111,179,209,396,506,656
bewildered                textFile.txt              602,670
bewilderment              textFile.txt              73
beyond                    textFile.txt              111,345,378,380,442,498,500
Bible                     textFile.txt              11,13
bifurcation               textFile.txt              27
big                       textFile.txt              45,291,534,644
bird                      textFile.txt              111,265,608
bird's                    textFile.txt              412
bird's-eye                textFile.txt              345
birds                     textFile.txt              111,159,167,181,345,442,508,536,568
birthday                  textFile.txt              534
biscuit                   textFile.txt              540
bit                       textFile.txt              113,333,406
bite                      textFile.txt              398
bitterly                  textFile.txt              656
black                     textFile.txt              45,53,55,81,139,163,173,187,209,327,347,380,390,394,396,400,424,612,638,644,656
black-browed              textFile.txt              45
blacking                  textFile.txt              71
blade                     textFile.txt              446
blameless                 textFile.txt              111
blank                     textFile.txt              236,345
blast                     textFile.txt              13
blasts                    textFile.txt              199
blazing                   textFile.txt              542
blessed                   textFile.txt              47
blew                      textFile.txt              262,656
blight                    textFile.txt              81
blighted                  textFile.txt              25
blights                   textFile.txt              47
blinding                  textFile.txt              484,662
blindness                 textFile.txt              127
blood                     textFile.txt              500,733,741
blood-red                 textFile.txt              394,638
bloom                     textFile.txt              265
blowing                   textFile.txt              656
blown                     textFile.txt              25,696
blue                      textFile.txt              3,27,345
blue-black                textFile.txt              23
blue-green                textFile.txt              111
board                     textFile.txt              345
boat                      textFile.txt              3,31,101,662
boatman                   textFile.txt              31,41,45
boatman's                 textFile.txt              53
bodily                    textFile.txt              1
body                      textFile.txt              173,295,500
bogey                     textFile.txt              191,534
bogus                     textFile.txt              704,709
boil                      textFile.txt              264
boiled                    textFile.txt              500
boiling                   textFile.txt              209
boisterous                textFile.txt              89
bolt                      textFile.txt              650
bolted                    textFile.txt              462
bone                      textFile.txt              31,412,416,420,442,492,494,498,540
bones                     textFile.txt              426,480,482,486,500,508,540,588,640,709,713,717,719,739
bony                      textFile.txt              55,432
boot                      textFile.txt              1
border                    textFile.txt              111
bordering                 textFile.txt              696
bore                      textFile.txt              412
boring                    textFile.txt              25
born                      textFile.txt              534
botanical                 textFile.txt              101
