		 Word Occurence Report
	Words with location of occurence
===================================================
Word:                     Location:
1772                      bigtextFile.txt
1772                      bigTextFile.txt
1773                      bigtextFile.txt
1773                      bigTextFile.txt
1774                      bigtextFile.txt
1774                      bigTextFile.txt
1775                      bigtextFile.txt
1775                      bigTextFile.txt
1776                      bigtextFile.txt
1776                      bigTextFile.txt
1776-1761                 bigtextFile.txt
1776-1761                 bigTextFile.txt
1777                      bigtextFile.txt
1777                      bigTextFile.txt
1777-78                   bigtextFile.txt
1777-78                   bigTextFile.txt
1778                      bigtextFile.txt
1778                      bigTextFile.txt
1779                      bigtextFile.txt
1779                      bigTextFile.txt
178                       warandpeace.txt
1780                      bigtextFile.txt
1780                      bigTextFile.txt
1781                      bigtextFile.txt
1781                      bigTextFile.txt
1782                      bigtextFile.txt
1782                      bigTextFile.txt
1783                      bigtextFile.txt
1783                      bigTextFile.txt
1784                      bigtextFile.txt
1784                      bigTextFile.txt
1785                      bigtextFile.txt
1785                      bigTextFile.txt
1785-1820                 bigtextFile.txt
1785-1820                 bigTextFile.txt
1786                      bigtextFile.txt
1786                      bigTextFile.txt
1787                      bigtextFile.txt
1787                      bigTextFile.txt
1788                      bigtextFile.txt
1788                      bigTextFile.txt
1789                      bigtextFile.txt
1789                      warandpeace.txt
1789                      bigTextFile.txt
1789-92                   bigtextFile.txt
1789-92                   bigTextFile.txt
179                       bigtextFile.txt
179                       bigTextFile.txt
1790                      bigtextFile.txt
1790                      bigTextFile.txt
1791                      bigtextFile.txt
1791                      bigTextFile.txt
1792                      bigtextFile.txt
1792                      bigTextFile.txt
17921                     bigtextFile.txt
17921                     bigTextFile.txt
1793                      bigtextFile.txt
1793                      bigTextFile.txt
1794                      bigtextFile.txt
1794                      bigTextFile.txt
1795                      bigtextFile.txt
1795                      bigTextFile.txt
1796                      bigtextFile.txt
1796                      bigTextFile.txt
1797                      warandpeace.txt
1798                      bigtextFile.txt
1798                      bigTextFile.txt
1799                      bigtextFile.txt
1799                      bigTextFile.txt
179ff                     bigtextFile.txt
179ff                     bigTextFile.txt
17th                      bigtextFile.txt
17th                      warandpeace.txt
17th                      bigTextFile.txt
18                        bigtextFile.txt
18                        warandpeace.txt
18                        bigTextFile.txt
180                       bigtextFile.txt
180                       bigTextFile.txt
180-196                   bigtextFile.txt
180-196                   bigTextFile.txt
1800                      bigtextFile.txt
1800                      bigTextFile.txt
1800-1817                 bigtextFile.txt
1800-1817                 bigTextFile.txt
180000                    bigtextFile.txt
180000                    bigTextFile.txt
1800000                   bigtextFile.txt
1800000                   bigTextFile.txt
1801                      bigtextFile.txt
1801                      bigTextFile.txt
1802                      bigtextFile.txt
1802                      bigTextFile.txt
1803                      bigtextFile.txt
1803                      bigTextFile.txt
1804                      bigtextFile.txt
1804                      bigTextFile.txt
1805                      bigtextFile.txt
1805                      warandpeace.txt
1805                      bigTextFile.txt
1805-6                    warandpeace.txt
1806                      bigtextFile.txt
1806                      warandpeace.txt
1806                      bigTextFile.txt
1807                      bigtextFile.txt
1807                      warandpeace.txt
1807                      bigTextFile.txt
1808                      bigtextFile.txt
1808                      warandpeace.txt
1808                      bigTextFile.txt
1809                      bigtextFile.txt
1809                      warandpeace.txt
1809                      bigTextFile.txt
180ff                     bigtextFile.txt
180ff                     bigTextFile.txt
181                       bigtextFile.txt
181                       warandpeace.txt
181                       bigTextFile.txt
1810                      bigtextFile.txt
1810                      warandpeace.txt
1810                      bigTextFile.txt
1811                      bigtextFile.txt
1811                      warandpeace.txt
1811                      bigTextFile.txt
1812                      bigtextFile.txt
1812                      warandpeace.txt
1812                      bigTextFile.txt
1813                      warandpeace.txt
1813-                     warandpeace.txt
1814                      bigtextFile.txt
1814                      bigTextFile.txt
1815                      bigtextFile.txt
1815                      warandpeace.txt
1815                      bigTextFile.txt
1815-1840                 bigtextFile.txt
1815-1840                 bigTextFile.txt
1816                      bigtextFile.txt
1816                      bigTextFile.txt
1817                      bigtextFile.txt
1817                      bigTextFile.txt
1818                      bigtextFile.txt
1818                      bigTextFile.txt
1819                      bigtextFile.txt
1819                      bigTextFile.txt
182                       bigtextFile.txt
182                       bigTextFile.txt
1820                      bigtextFile.txt
1820                      warandpeace.txt
1820                      bigTextFile.txt
1820-21                   bigtextFile.txt
1820-21                   bigTextFile.txt
1821                      bigtextFile.txt
1821                      bigTextFile.txt
1821-48                   bigtextFile.txt
1821-48                   bigTextFile.txt
1822                      bigtextFile.txt
1822                      bigTextFile.txt
1823                      bigtextFile.txt
1823                      bigTextFile.txt
1824                      bigtextFile.txt
1824                      bigTextFile.txt
1825                      bigtextFile.txt
1825                      bigTextFile.txt
1826                      bigtextFile.txt
1826                      bigTextFile.txt
1827                      bigtextFile.txt
1827                      bigTextFile.txt
1828                      bigtextFile.txt
1828                      bigTextFile.txt
1829                      bigtextFile.txt
1829                      bigTextFile.txt
183                       bigtextFile.txt
183                       bigTextFile.txt
1830                      bigtextFile.txt
1830                      bigTextFile.txt
1831                      bigtextFile.txt
1831                      bigTextFile.txt
1832                      bigtextFile.txt
1832                      bigTextFile.txt
1833                      bigtextFile.txt
1833                      bigTextFile.txt
1834                      bigtextFile.txt
1834                      bigTextFile.txt
1835                      bigtextFile.txt
1835                      bigTextFile.txt
1836                      bigtextFile.txt
1836                      bigTextFile.txt
1837                      bigtextFile.txt
1837                      bigTextFile.txt
1838                      bigtextFile.txt
1838                      bigTextFile.txt
1839                      bigtextFile.txt
1839                      bigTextFile.txt
184-194                   bigtextFile.txt
184-194                   bigTextFile.txt
1840                      bigtextFile.txt
1840                      bigTextFile.txt
1842                      bigtextFile.txt
1842                      bigTextFile.txt
1843                      bigtextFile.txt
1843                      bigTextFile.txt
1844                      bigtextFile.txt
1844                      bigTextFile.txt
1845                      bigtextFile.txt
1845                      bigTextFile.txt
1846                      bigtextFile.txt
1846                      bigTextFile.txt
1847                      bigtextFile.txt
1847                      bigTextFile.txt
1848                      bigtextFile.txt
1848                      bigTextFile.txt
1849                      bigtextFile.txt
1849                      bigTextFile.txt
185                       bigtextFile.txt
185                       bigTextFile.txt
185-191                   bigtextFile.txt
185-191                   bigTextFile.txt
1850                      bigtextFile.txt
1850                      bigTextFile.txt
1852                      bigtextFile.txt
1852                      bigTextFile.txt
1853                      bigtextFile.txt
1853                      bigTextFile.txt
1853-54                   bigtextFile.txt
1853-54                   bigTextFile.txt
1854                      bigtextFile.txt
1854                      bigTextFile.txt
1855                      bigtextFile.txt
1855                      bigTextFile.txt
1856                      bigtextFile.txt
1856                      bigTextFile.txt
1857                      bigtextFile.txt
1857                      bigTextFile.txt
1858                      bigtextFile.txt
1858                      bigTextFile.txt
1859                      bigtextFile.txt
1859                      bigTextFile.txt
186                       bigtextFile.txt
186                       bigTextFile.txt
1860                      bigtextFile.txt
1860                      bigTextFile.txt
1860-80                   bigtextFile.txt
1860-80                   bigTextFile.txt
1861                      bigtextFile.txt
1861                      bigTextFile.txt
1861-85                   bigtextFile.txt
1861-85                   bigTextFile.txt
1862                      bigtextFile.txt
1862                      bigTextFile.txt
1863                      bigtextFile.txt
1863                      bigTextFile.txt
1864                      bigtextFile.txt
1864                      bigTextFile.txt
1865                      bigtextFile.txt
1865                      bigTextFile.txt
1865-1897                 bigtextFile.txt
1865-1897                 bigTextFile.txt
1865-1900                 bigtextFile.txt
1865-1900                 bigTextFile.txt
1865-98                   bigtextFile.txt
1865-98                   bigTextFile.txt
1866                      bigtextFile.txt
1866                      bigTextFile.txt
1867                      bigtextFile.txt
1867                      bigTextFile.txt
1868                      bigtextFile.txt
1868                      bigTextFile.txt
1868-78                   bigtextFile.txt
1868-78                   bigTextFile.txt
1869                      bigtextFile.txt
1869                      bigTextFile.txt
186ff                     bigtextFile.txt
186ff                     bigTextFile.txt
187                       bigtextFile.txt
187                       bigTextFile.txt
187-208                   bigtextFile.txt
187-208                   bigTextFile.txt
1870                      bigtextFile.txt
1870                      bigTextFile.txt
1871                      bigtextFile.txt
1871                      bigTextFile.txt
1872                      bigtextFile.txt
1872                      bigTextFile.txt
1873                      bigtextFile.txt
1873                      bigTextFile.txt
1874                      bigtextFile.txt
1874                      bigTextFile.txt
1875                      bigtextFile.txt
1875                      bigTextFile.txt
1876                      bigtextFile.txt
1876                      bigTextFile.txt
1877                      bigtextFile.txt
1877                      bigTextFile.txt
1877-1896                 bigtextFile.txt
1877-1896                 bigTextFile.txt
1878                      bigtextFile.txt
1878                      bigTextFile.txt
1879                      bigtextFile.txt
1879                      bigTextFile.txt
188                       bigtextFile.txt
188                       bigTextFile.txt
188-202                   bigtextFile.txt
188-202                   bigTextFile.txt
